Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,233801632,233.801632,14,88,66,3,72,160,A,Major,69,61,71,33,0,31,20
Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,9,1481349984,1481.349984,0,0,356,0,0,144,F,Major,73,87,70,6,0,28,5
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142095275,142.095275,4,14,12,5,56,192,B,Major,50,85,52,11,0,28,6
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,5871,27,618885532,618.885532,81,121,58,1,34,163,,Major,54,40,67,0,0,9,17
Counting Stars,OneRepublic,1,2013,1,1,29215,43,2011464183,2011.464183,179,97,"3,394",11,153,122,C#,Minor,66,48,71,6,0,12,4
Ghost,Justin Bieber,1,2021,3,19,5866,24,1167330737,1167.330737,107,38,95,0,,154,D,Major,61,41,74,21,0,40,6
Under The Influence,Chris Brown,1,2019,10,4,3859,26,929964809,929.964809,133,181,3,0,,117,A,Minor,73,31,69,6,0,11,4
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,26,436027885,436.027885,19,143,10,6,15,138,G,Minor,78,89,83,10,0,12,5
Gasolina,Daddy Yankee,1,2004,7,13,6457,18,657723613,657.723613,98,95,453,0,454,96,,Major,86,74,80,33,0,8,6
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350,2713.92235,433,107,"3,631",0,26,104,C#,Major,77,36,63,1,0,36,5
Enchanted,Taylor Swift,1,2010,1,1,4564,16,621660989,621.660989,24,101,113,0,40,164,G#,Major,45,24,62,8,0,16,3
Save Your Tears,The Weeknd,1,2020,3,20,12688,13,1591223784,1591.223784,197,115,112,0,200,118,,Major,68,61,82,2,0,50,3
Sure Thing,Miguel,1,2010,5,25,13801,19,950906471,950.906471,137,125,435,6,285,81,B,Minor,68,51,60,3,0,19,10
Every Breath You Take - Remastered 2003,The Police,1,1983,1,6,22439,19,1593270737,1593.270737,211,74,929,0,129,117,C#,Major,82,73,45,54,0,7,3
The Night We Met,Lord Huron,1,2015,2,2,18515,35,1410088830,1410.08883,70,82,939,1,162,174,D,Major,45,10,37,97,25,64,4
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533,1235.005533,321,91,"4,607",1,58,128,C#,Major,73,60,77,3,0,11,4
When I Was Your Man,Bruno Mars,1,2012,12,5,2420,11,1661187319,1661.187319,0,0,806,0,0,145,,Major,60,43,27,94,0,14,4
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,19,1374581173,1374.581173,0,0,885,0,0,150,C#,Minor,65,51,55,73,0,14,3
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466,94.186466,17,60,28,1,44,90,A,Minor,60,13,53,4,0,21,4
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,1788326445,1788.326445,133,92,"2,733",1,26,85,F,Major,55,42,53,17,0,22,3
Demons,Imagine Dragons,1,2012,1,1,26694,13,1840364617,1840.364617,65,82,"3,425",4,13,180,D#,Major,33,38,71,20,0,28,5
Reminder,The Weeknd,1,2016,11,25,6518,17,684675814,684.675814,45,85,238,1,47,160,G#,Major,71,40,50,16,0,16,22
Shake It Off,Taylor Swift,1,2014,1,1,21335,13,1113838873,1113.838873,328,70,"1,378",9,20,160,G,Major,65,95,80,5,0,41,16
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,29,1267333350,1267.33335,54,70,"1,089",2,1,92,D,Major,70,81,63,4,0,8,4
SNAP,Rosa Linn,1,2022,3,19,3202,18,726307468,726.307468,148,80,226,24,0,170,,Major,56,53,64,11,0,45,6
Shape of You,Ed Sheeran,1,2017,1,6,32181,10,3562543890,3562.54389,33,0,"6,808",7,0,96,C#,Minor,83,93,65,58,0,9,8
Night Changes,One Direction,1,2014,11,17,7124,18,1131090940,1131.09094,60,20,2,0,,120,G#,Major,67,40,52,86,0,12,4
Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13,592,14,307370144,307.370144,11,84,6,1,30,98,,Major,70,37,54,6,0,9,8
Creep,Radiohead,1,1992,9,21,36724,7,1271293243,1271.293243,146,72,"6,807",5,80,92,G,Major,53,12,34,1,0,12,4
Car's Outside,James Arthur,1,2019,10,18,794,10,265882712,265.882712,38,25,61,0,263,150,A,Major,34,24,56,4,0,11,3
Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,17,841749534,841.749534,61,96,790,2,116,94,F,Major,37,17,47,2,46,11,3
Cheques,Shubh,1,2023,5,19,67,8,47956378,47.956378,7,10,0,0,57,90,E,Minor,74,36,63,26,0,27,5
Pink + White,Frank Ocean,1,2016,8,20,21574,30,806397070,806.39707,112,68,266,1,39,160,A,Major,54,54,55,67,0,42,11
Circles,Post Malone,1,2019,8,30,19664,16,2132335812,2132.335812,391,73,633,3,37,120,,Major,70,59,75,24,0,9,4
Just The Way You Are,Bruno Mars,1,2010,1,1,21106,13,1641426668,1641.426668,82,0,"2,946",0,0,109,F,Major,63,46,85,1,0,9,5
Take Me To Church,Hozier,1,2013,9,13,23804,31,2135158446,2135.158446,187,99,"4,623",1,0,129,E,Minor,57,41,66,63,0,12,5
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,367316268,367.316268,27,129,21,7,111,157,G,Major,54,75,60,30,0,7,5
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206,30.343206,3,33,3,0,1,146,B,Minor,50,67,89,0,0,19,8
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,405136812,405.136812,1,50,19,0,19,139,A,Minor,48,37,41,32,0,10,10
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1,15890,14,1145727611,1145.727611,71,37,653,0,167,116,,Major,74,76,70,7,0,13,3
Es un Secreto,Plan B,1,2010,7,20,492,36,540654286,540.654286,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57312735,57.312735,20,46,21,8,99,170,G#,Minor,62,55,80,15,0,37,7
Ditto,NewJeans,1,2022,12,19,1154,22,397582059,397.582059,28,125,11,1,51,134,F#,Minor,81,18,64,3,0,10,11
